IPTV核心流程测速报告
================================================================================
生成时间：2026-02-02 20:07:43
延迟阈值：50000ms | 并发数：20
总频道数：340 | 有效频道数：7 | 无效频道数：333
有效率：2.1%
================================================================================

【有效频道列表（按延迟升序）】
排名   频道名                  延迟(ms)     播放URL
14   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20230507/24165_799a7b4a...
15   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221129/9344_44b64a1a/...
16   vip.ffzy-play.com    HTTP状态码：403          https://vip.ffzy-play.com/20221017/1618_2e6027ee/i...
17   20220607             HTTP状态码：403          https://cdn5.yzzy-tv-cdn.com/20220607/22255_9e00ed...
18   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4686_d56a5b6c/...
19   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221116/7250_93049e15/...
20   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221129/9346_67ee848d/...
21   ukzy.ukubf3.com      HTTP状态码：403          https://ukzy.ukubf3.com/20220402/N3nfxJ6i/index.m3...
22   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221021/494_7e9bef86/i...
23   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221206/8266_97359a93/...
24   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221129/9292_f6b1a849/...
25   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4687_1e3f6f8c/...
26   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221112/6044_68796407/...
27   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20230413/22211_bfb8d6b2...
28   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221129/9355_e351af0a/...
29   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221112/3509_1a0443fd/...
30   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221020/264_d622ce7f/i...
31   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221027/2108_7c929ef0/...
32   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4694_6f7f88ac/...
33   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221112/3526_ba428b29/...
34   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221224/9583_f95a6383/...
35   vip.ffzy-play2.com   HTTP状态码：403          https://vip.ffzy-play2.com/20221019/50_7eedcf07/in...
36   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20230409/21638_281e50c4...
37   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221117/5047_beb0a18c/...
38   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221209/9096_70ae66c7/...
39   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4538_ddf6020e/...
40   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221112/3550_cbc3226a/...
41   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221128/9052_3612e0ff/...
42   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4703_5132dc98/...
43   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4539_8b9150f6/...
44   vip.ffzy-play2.com   HTTP状态码：403          https://vip.ffzy-play2.com/20221019/18_d8d1ad76/in...
45   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221128/8945_9b4193cd/...
46   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221112/3556_7788de32/...
47   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221117/5171_c2d4c959/...
48   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221112/3563_422b85c5/...
49   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221116/7264_5b0b594e/...
50   vip.ffzy-play.com    HTTP状态码：403          https://vip.ffzy-play.com/20221017/1754_95490c99/i...
... 共333个无效频道，仅显示前50个
